Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
GL000225.1	183252	183364	1	U2
KI270726.1	4771	5305	1	
GL000225.1	170773	206442	1	
KI270722.1	2027	7875	1	
GL000008.2	83332	200303	1	
KI270726.1	1977	3628	1	
GL000194.1	30694	57443	1	
KI270722.1	25886	38622	-1	
KI270726.1	14338	15728	1	
KI270751.1	34096	71851	1	
KI270743.1	183290	208327	-1	
GL000221.1	79376	121702	1	
GL000221.1	15013	48413	1	
KI270713.1	11685	22304	-1	
GL000195.1	20094	34804	1	
KI270721.1	52895	53010	1	
GL000195.1	86829	96438	1	
KI270721.1	52666	52734	1	
KI270721.1	2585	11802	1	
KI270743.1	6600	8034	1	
GL000195.1	49759	50747	1	
KI270721.1	51722	51792	1	
KI270706.1	1297	141320	1	
KI270721.1	50348	56529	-1	
KI270713.1	4168	7142	1	
KI270751.1	133801	139253	-1	
GL000195.1	137841	179381	1	
KI270713.1	30269	31218	-1	
GL000221.1	1758	15408	1	
KI270733.1	167218	167307	1	
KI270733.1	128877	129029	1	RNA5-8SN4
KI270733.1	173956	174108	1	5_8S_rRNA
GL000194.1	10561	28352	-1	
KI270733.1	122136	122225	1	
KI270733.1	26722	28038	-1	
KI270733.1	12396	13988	1	
KI270733.1	21341	24234	-1	
GL000194.1	145900	156852	1	
KI270728.1	17234	19833	1	
KI270733.1	113837	140657	1	
KI270719.1	122831	170003	-1	
KI270728.1	1139577	1147868	-1	
KI270733.1	120506	121345	-1	
KI270750.1	148668	148843	1	U1
KI270719.1	11497	89582	-1	
KI270750.1	33474	63757	1	
KI270746.1	28192	48455	-1	
KI270742.1	145	110027	-1	
GL000219.1	54224	83311	-1	
GL000219.1	24806	74054	1	
KI270746.1	36276	40556	1	
KI270719.1	93169	106180	1	
KI270746.1	10052	16108	-1	
KI270728.1	933862	936467	-1	
KI270721.1	50354	53034	1	
KI270728.1	1109945	1110235	1	
KI270728.1	137798	139135	1	
KI270728.1	1270984	1271271	1	
KI270728.1	1336066	1345136	-1	
GL000219.1	99846	142363	1	
KI270728.1	1119967	1135676	1	
GL000219.1	83631	99678	-1	
KI270750.1	19028	33270	-1	
KI270728.1	1129654	1130626	-1	
KI270721.1	38384	45185	-1	
KI270728.1	1417809	1420347	-1	
KI270706.1	945	84493	-1	
KI270728.1	1147280	1150718	1	
KI270728.1	1687458	1697392	1	
KI270706.1	92483	154996	-1	
KI270721.1	42290	48858	1	
GL000008.2	177110	208612	-1	
GL000205.2	93050	93150	-1	Y_RNA
GL000205.2	163302	168527	1	
GL000205.2	7529	145168	-1	
KI270728.1	1001617	1008200	1	
GL000219.1	40416	42250	-1	
KI270721.1	37703	41250	1	
KI270728.1	91382	140858	-1	
KI270728.1	1420430	1451338	1	
KI270712.1	105820	123821	1	
KI270731.1	10598	13001	-1	
KI270731.1	26533	27138	-1	
KI270731.1	113725	132767	-1	
KI270712.1	1378	3207	-1	
KI270710.1	24966	30774	-1	
KI270728.1	169379	175868	1	
KI270728.1	1753176	1755007	-1	
KI270728.1	26814	29237	-1	
GL000008.2	152369	170429	-1	
KI270728.1	156823	161005	1	
KI270731.1	36013	74415	1	
KI270731.1	102687	108748	-1	
GL000216.2	93197	93309	-1	U2
KI270731.1	90796	102080	1	
KI270728.1	207250	228256	1	
KI270731.1	867	7220	1	
KI270728.1	1535211	1555445	-1	
KI270731.1	13145	14830	-1	
KI270728.1	1842094	1855268	-1	
KI270728.1	859541	862006	1	
KI270728.1	925424	926749	1	
KI270728.1	891249	911016	-1	
KI270728.1	1796109	1817103	-1	
KI270728.1	956892	958766	1	
GL000218.1	20195	42620	1	
KI270728.1	1863098	1872048	-1	
KI270714.1	2865	9624	-1	
KI270714.1	16293	23109	-1	
KI270749.1	27487	37302	1	
KI270749.1	107947	130418	-1	
GL000205.2	75988	100753	1	
GL000205.2	44576	61804	1	
GL000205.2	75648	85014	1	
HG126_PATCH	179635	225449	-1	
HG126_PATCH	251600	251763	1	RNU1-62P
HG126_PATCH	258279	258444	1	MTCO3P47
HG126_PATCH	366614	366720	-1	RNA5SP136
HG126_PATCH	49076	122044	-1	RYBP
HG1320_PATCH	17625	27501	1	GCGR
HG1046_PATCH	23142	23609	1	RPL23AP45
HG1320_PATCH	35854	46795	-1	MCRIP1
HG1311_HG2539_PATCH	5898	5995	1	Y_RNA
HG1311_HG2539_PATCH	27174	27277	-1	RNU6-409P
HG1311_HG2539_PATCH	74316	81453	1	ACR
KI270742.1	14337	108409	1	
HG1047_PATCH	5301	6330	1	
HG1311_HG2539_PATCH	76713	79634	-1	
HG1047_PATCH	9906	24126	1	C8orf33
HG1311_HG2539_PATCH	90790	91549	-1	SNRPA1P2
HG1342_HG2282_PATCH	4199	4672	-1	LINC01784
HG1311_HG2539_PATCH	8917	69331	1	SHANK3
HG1342_HG2282_PATCH	6118	12923	-1	PRAMEF11
HG1342_HG2282_PATCH	19638	22870	-1	PRAMEF30P
HG1342_HG2282_PATCH	28921	30238	-1	HNRNPCL1
HG1342_HG2282_PATCH	38599	43422	1	PRAMEF2
HG1342_HG2282_PATCH	60725	67714	-1	PRAMEF4
HG1342_HG2282_PATCH	74409	79783	-1	PRAMEF10
HG1342_HG2282_PATCH	98123	101995	1	PRAMEF7
KI270742.1	109545	151793	1	
HG1342_HG2282_PATCH	104067	104173	1	RNU6-1072P
HG1342_HG2282_PATCH	107675	109766	1	PRAMEF29P
HG1342_HG2282_PATCH	119985	129093	-1	PRAMEF6
HG1320_PATCH	46985	48543	-1	PPP1R27
HG1342_HG2282_PATCH	183679	186470	1	PRAMEF28P
HG1342_HG2282_PATCH	203816	210831	-1	PRAMEF27
HG1342_HG2282_PATCH	215209	216569	1	HNRNPCL3
HG1342_HG2282_PATCH	223017	232224	1	PRAMEF25
HG1342_HG2282_PATCH	249519	252311	-1	PRAMEF34P
HG1342_HG2282_PATCH	258743	260029	-1	PRAMEF35P
HG107_HG2565_PATCH	46620	52489	1	LINC02688
HG1342_HG2282_PATCH	269828	271194	-1	HNRNPCL2
HG107_HG2565_PATCH	155427	198622	1	MUC5AC
HG1342_HG2282_PATCH	283158	285955	1	PRAMEF36P
HG1342_HG2282_PATCH	284133	285749	1	
HG107_HG2565_PATCH	71614	108092	1	MUC2
HG1342_HG2282_PATCH	301321	301800	-1	
HG1342_HG2282_PATCH	303245	310301	-1	PRAMEF26
HG1342_HG2282_PATCH	318926	319807	-1	HNRNPCL4
HG1342_HG2282_PATCH	326795	333804	1	PRAMEF9
HG1342_HG2282_PATCH	350528	355749	-1	PRAMEF13
HG1342_HG2282_PATCH	377045	380446	-1	PRAMEF18
HG1342_HG2282_PATCH	400203	402992	1	PRAMEF31P
HG1342_HG2282_PATCH	408552	417654	1	PRAMEF5
HG1342_HG2282_PATCH	427879	429967	-1	PRAMEF32P
HG1342_HG2282_PATCH	433465	433571	-1	RNU6-771P
HG1342_HG2282_PATCH	435375	439514	-1	PRAMEF8
HG1342_HG2282_PATCH	457879	463247	1	PRAMEF33
HG1342_HG2282_PATCH	157184	159964	1	PRAMEF22
HG1206_PATCH	48751	219108	1	CNTNAP3C
HG1206_PATCH	145651	145911	-1	RN7SL462P
HG151_NOVEL_TEST	119918	138264	-1	
HG151_NOVEL_TEST	7154	8071	1	OR9G1
HG151_NOVEL_TEST	18234	19151	1	OR9G9
HG151_NOVEL_TEST	54158	54304	-1	
HG151_NOVEL_TEST	58021	58938	1	OR9G3P
HG151_NOVEL_TEST	60669	61653	-1	OR9G4
HG151_NOVEL_TEST	68865	69744	-1	OR9G2P
HG151_NOVEL_TEST	93103	94048	-1	OR5G1P
HG1362_PATCH	18842	180082	1	BCL2L14
HG151_NOVEL_TEST	108048	108807	-1	OR5G4P
HG151_NOVEL_TEST	119698	120636	-1	OR5G5P
HG151_NOVEL_TEST	137423	138358	-1	OR5G3
HG151_NOVEL_TEST	166410	189093	1	LINC02735
HG1362_PATCH	80161	80487	1	PTMAP9
HG1362_PATCH	80950	81034	1	MIR1244-4
HG1362_PATCH	85023	236042	-1	LRP6
HG1277_PATCH	11715	24443	-1	SYT15B
HG1277_PATCH	126346	210159	-1	
HG1277_PATCH	137021	141806	1	NPY4R2
HG1277_PATCH	188325	191778	-1	
HG1277_PATCH	213604	218073	-1	FAM25C
HG1277_PATCH	228155	249881	-1	AGAP12P
HG1277_PATCH	228414	249922	-1	AGAP12P
HG1277_PATCH	258744	258859	1	RNA5SP315
HG1277_PATCH	268564	278298	-1	BMS1P7
HG1277_PATCH	51131	53245	1	
HG152_PATCH	8637	43920	-1	TOLLIP
HG152_PATCH	44035	44973	1	TOLLIP-DT
HG152_PATCH	67516	71334	-1	
HG152_PATCH	84625	98552	1	LINC02689
HG152_PATCH	124165	196955	1	BRSK2
HG1362_PATCH	124260	124770	1	RPL21P100
HG1362_PATCH	195672	195775	1	RNU6-545P
HG1362_PATCH	217989	218425	1	
HG1362_PATCH	258225	258327	-1	RNU6-318P
HG1362_PATCH	295054	319240	-1	MANSC1
HG152_PATCH	198848	201898	-1	
HG152_PATCH	294027	312247	-1	DUSP8
HG152_PATCH	311329	339160	1	KRTAP5-AS1
HG1362_PATCH	307774	308252	1	RPL23AP66
HG152_PATCH	324318	325259	-1	KRTAP5-1
HG1362_PATCH	324404	326065	-1	LOH12CR2
HG152_PATCH	337153	338270	-1	KRTAP5-2
HG152_PATCH	347541	348439	-1	KRTAP5-3
HG152_PATCH	360934	362114	-1	KRTAP5-4
HG152_PATCH	369751	370906	1	KRTAP5-5
HG1362_PATCH	326076	440236	1	BORCS5
HG152_PATCH	402560	403319	-1	
HG152_PATCH	405573	407832	1	FAM99A
HG152_PATCH	423245	425605	-1	FAM99B
HG152_PATCH	428273	429032	1	LINC02708
HG152_PATCH	203723	274455	-1	MOB2
HG1362_PATCH	421106	421484	-1	
HG1362_PATCH	442285	531866	-1	DUSP16
HG1298_PATCH	16444	18780	-1	
HG1298_PATCH	98859	124622	-1	HMX1
HG1362_PATCH	454356	460584	1	
HG1362_PATCH	537204	537779	-1	
HG1298_PATCH	111498	113610	-1	
HG1651_PATCH	117294	117707	1	
HG1445_PATCH	97753	109757	1	
HG1445_PATCH	109421	145794	-1	
HG1445_PATCH	146238	163482	1	
HG1445_PATCH	147642	147752	1	Y_RNA
HG1532_PATCH	835225	845930	-1	RBMY3AP
HG1532_PATCH	33367	34984	-1	CDY3P
HG1532_PATCH	848837	851006	1	TSPY25P
HG1309_PATCH	46660	71371	-1	
HG1532_PATCH	50976	53085	1	USP9YP22
HG1532_PATCH	864903	865370	-1	TSPY16P
HG1309_PATCH	52726	56866	1	
HG1532_PATCH	56911	71893	-1	USP9YP4
HG1532_PATCH	98197	98529	1	ELOCP4
HG1309_PATCH	90874	107722	-1	
HG1532_PATCH	178412	190151	-1	RBMY1A3P
HG1532_PATCH	193081	193329	1	
HG1309_PATCH	111541	125215	-1	LINC03015
HG1532_PATCH	197162	202114	-1	TTTY20
HG1532_PATCH	225079	227881	1	TSPY8
HG1532_PATCH	235085	303872	-1	FAM197Y7
HG1532_PATCH	303320	305312	-1	
HG1532_PATCH	204746	207566	1	TSPY4
HG1532_PATCH	488788	491602	1	TSPY9
HG1532_PATCH	384417	447256	-1	FAM197Y2
HG1532_PATCH	506130	508122	-1	FAM197Y4
HG1532_PATCH	460285	506463	-1	FAM197Y4
HG1532_PATCH	222128	224096	-1	FAM197Y8
HG1309_PATCH	125237	131153	1	LINC03014
HG1532_PATCH	214793	222683	-1	FAM197Y8
HG1309_PATCH	137453	140660	-1	
HG1309_PATCH	150608	151701	1	
HG1309_PATCH	158623	169868	-1	
HG1309_PATCH	168259	235989	1	FAM20C
HG1309_PATCH	203242	205245	-1	
HG1309_PATCH	238026	238462	1	
HG1832_PATCH	11198	13789	-1	SERTAD4-AS1
HG1832_PATCH	12538	26373	1	SERTAD4
HG1708_PATCH	23101	24163	-1	OR4C12
HG1708_PATCH	60426	61323	1	OR4C48P
HG1832_PATCH	45378	46983	-1	ST13P19
HG1708_PATCH	95036	95935	-1	OR4C49P
HG1708_PATCH	74500	75420	1	OR4C45
HG1832_PATCH	83426	84282	1	
HG1832_PATCH	107994	459395	1	HHAT
HG1524_PATCH	18042	39335	1	GRK1
HG1524_PATCH	50110	52688	-1	LINC00552
HG1832_PATCH	142603	146690	-1	
HG1832_PATCH	153896	154009	-1	RNU5A-8P
HG1832_PATCH	166399	173854	-1	
HG1832_PATCH	242087	242754	-1	BPNT2P1
HG1343_HG173_HG459_PATCH	1991	16789	-1	ARHGEF19
HG1343_HG173_HG459_PATCH	20044	21562	-1	
HG1343_HG173_HG459_PATCH	20606	32164	-1	ANO7L1
HG1343_HG173_HG459_PATCH	32811	35472	-1	
HG1343_HG173_HG459_PATCH	35829	41320	-1	CPLANE2
HG1343_HG173_HG459_PATCH	45350	45535	-1	MT1XP1
HG1343_HG173_HG459_PATCH	50977	156623	-1	FBXO42
HG1343_HG173_HG459_PATCH	156718	202286	1	SZRD1
HG1343_HG173_HG459_PATCH	173285	173665	-1	RPL22P3
HG1343_HG173_HG459_PATCH	191257	241687	-1	SPATA21
HG1343_HG173_HG459_PATCH	244986	264343	1	NECAP2
HG1343_HG173_HG459_PATCH	265213	272746	1	LINC01772
HG1343_HG173_HG459_PATCH	278663	295576	-1	CROCCP3
HG1343_HG173_HG459_PATCH	318424	318587	-1	RNU1-1
HG1343_HG173_HG459_PATCH	319335	326095	1	
HG1343_HG173_HG459_PATCH	324997	326103	1	
HG1343_HG173_HG459_PATCH	338197	339960	-1	LINC01783
HG1343_HG173_HG459_PATCH	338392	338535	-1	RNU1-6P
HG1343_HG173_HG459_PATCH	352956	356848	-1	PDE4DIPP8
HG1343_HG173_HG459_PATCH	483403	483840	1	
HG1343_HG173_HG459_PATCH	492015	492178	-1	RNU1-2
HG1343_HG173_HG459_PATCH	498429	500577	1	
HG1343_HG173_HG459_PATCH	498552	499059	-1	
HG1343_HG173_HG459_PATCH	504496	517221	-1	LINC03126
HG1343_HG173_HG459_PATCH	514315	514458	-1	RNU1-5P
HG1535_PATCH	52742	53074	-1	ELOCP5
HG1343_HG173_HG459_PATCH	676471	676813	-1	
HG1535_PATCH	58534	60100	-1	CDY10P
HG1343_HG173_HG459_PATCH	847890	855569	1	
HG1343_HG173_HG459_PATCH	850592	851026	1	EIF1AXP1
HG1343_HG173_HG459_PATCH	869713	869876	1	RNU1-3
HG1343_HG173_HG459_PATCH	957786	957949	1	RNU1-4
HG1343_HG173_HG459_PATCH	1481961	1534651	-1	PADI2
HG1535_PATCH	82985	95067	1	USP9YP3
HG1343_HG173_HG459_PATCH	652677	779104	-1	
HG1535_PATCH	98305	102177	-1	USP9YP8
HG1343_HG173_HG459_PATCH	879420	1005754	1	CROCCP4
HG1535_PATCH	117629	119279	1	CDY11P
HG1343_HG173_HG459_PATCH	1178785	1193160	1	
HG1535_PATCH	198642	199281	-1	OFD1P16Y
HG1343_HG173_HG459_PATCH	561254	566210	1	
HG1343_HG173_HG459_PATCH	564764	571773	1	
HG1343_HG173_HG459_PATCH	567488	567922	1	
HG2031_PATCH	7059	11175	1	LINC01300
HG1343_HG173_HG459_PATCH	679318	683976	1	
HG2031_PATCH	19957	21919	-1	
HG2031_PATCH	23024	33840	-1	GPR20
HG2031_PATCH	40757	48783	1	
HG1343_HG173_HG459_PATCH	767483	772149	1	
HG2031_PATCH	56493	59128	-1	ASTILCS
HG1343_HG173_HG459_PATCH	886318	891041	-1	
HG2031_PATCH	58549	99008	1	PTP4A3
HG1343_HG173_HG459_PATCH	974464	979128	-1	
HG1343_HG173_HG459_PATCH	1161819	1166487	-1	
HG1343_HG173_HG459_PATCH	434287	466213	-1	
HG2031_PATCH	101099	104508	1	
HG2031_PATCH	114029	114103	1	
HG2031_PATCH	125629	126585	1	HNRNPA1P38
HG2031_PATCH	173887	176339	1	
HG1343_HG173_HG459_PATCH	366657	428849	-1	
HG2031_PATCH	181192	185291	1	C8orf90
HG2031_PATCH	100379	173784	-1	MROH5
HG1343_HG173_HG459_PATCH	1011165	1078120	1	
HG1343_HG173_HG459_PATCH	585030	647269	-1	
HG1343_HG173_HG459_PATCH	1198562	1260797	1	NBPF1
Y	1008503	1010101	-1	RPL14P5
Y	253743	255091	1	
Y	2334295	2336410	-1	DHRSX-IT1
Y	2219506	2502805	-1	DHRSX
HG2047_PATCH	10678	10788	1	RNU6-1004P
HG2047_PATCH	32306	48880	1	ORAI1
Y	320990	321851	1	LINC00685
Y	2609191	2609254	1	MIR6089
Y	2612988	2615347	-1	LINC00102
Y	388100	388389	-1	Metazoa_SRP
Y	523775	524102	-1	FABP5P13
Y	545236	545352	-1	KRT18P53
Y	624344	659411	1	SHOX
Y	1293918	1293992	1	MIR3690
Y	1300256	1300375	-1	RNA5SP498
Y	2609415	2623453	1	CD99P1
Y	1190490	1212723	-1	CRLF2
Y	1615059	1643081	1	ASMT
Y	1767347	1768776	1	
Y	964424	965367	-1	
Y	600187	600999	1	
Y	1248681	1263594	1	
Y	1248659	1249661	-1	
Y	1552740	1565013	-1	
Y	1401430	1414028	1	ASMTL-AS1
HG1369_PATCH	16910	28852	1	
HG1369_PATCH	42053	42404	1	
Y	1883825	1894966	1	
HG1369_PATCH	42764	44957	-1	
Y	1111322	1112300	1	
HG1369_PATCH	50247	51782	-1	
Y	386962	511616	1	
HG1369_PATCH	55354	55416	-1	MIR4740
HG1369_PATCH	107309	107393	-1	MIR3186
HG1369_PATCH	117218	118142	-1	
HG1369_PATCH	136728	137775	-1	LINC01971
HG1369_PATCH	170252	183981	1	
HG1369_PATCH	165618	180052	-1	ACTG1
Y	1392679	1400524	1	LINC00106
Y	1337165	1341817	-1	
Y	2500245	2503113	1	
Y	2373008	2373119	-1	
Y	990101	994374	1	
Y	267677	276210	-1	
Y	278946	281825	-1	
Y	1169151	1179160	1	
Y	1657735	1763312	1	LINC02968
HG1369_PATCH	50095	122536	1	BAHCC1
HG1369_PATCH	137857	138948	1	
HG1369_PATCH	171267	172617	1	
HG1369_PATCH	46943	48002	1	
HG1369_PATCH	29782	40102	-1	LINC03048
Y	2608406	2666596	1	CD99P1
Y	2566022	2609292	-1	LINC03112
Y	2583664	2606031	1	
Y	2486414	2502862	-1	ZBED1
HG2057_PATCH	21920	25430	-1	
Y	333933	386955	-1	PPP2R3B
HG2057_PATCH	25166	25857	1	
HG2057_PATCH	85633	86111	-1	RPL21P63
HG2057_PATCH	144646	145579	1	GCNT2P1
HG2057_PATCH	170382	203744	1	
HG2057_PATCH	182302	205681	-1	C6orf52
HG1384_PATCH	45607	45750	1	
Y	2690988	2741312	1	CD99
HG2057_PATCH	185542	185652	-1	Y_RNA
HG2057_PATCH	205856	220666	1	PAK1IP1
HG2057_PATCH	233799	242013	1	TMEM14C
Y	276322	303358	1	PLCXD1
HG2057_PATCH	3107	140252	1	GCNT2
Y	1462572	1537187	-1	P2RY8
Y	1335025	1382689	1	IL3RA
Y	303346	318846	-1	GTPBP6
Y	1386133	1392929	-1	SLC25A6
Y	1403138	1453786	-1	ASMTL
Y	1268779	1325373	1	CSF2RA
HG1395_PATCH	32845	52502	-1	
HG1395_PATCH	38436	38546	1	RNU5B-4P
HG1395_PATCH	39089	52538	-1	ECSCR
HG1395_PATCH	60573	64567	1	SMIM33
HG1395_PATCH	65328	72730	-1	STING1
HG2062_PATCH	68492	68736	1	CTBP2P1
Y	1591604	1602532	1	AKAP17A
Y	57015105	57016096	-1	AMD1P2
Y	57062156	57062405	1	DPH3P2
Y	57165512	57165845	-1	ELOCP24
Y	57171890	57172769	-1	TRPC6P1
Y	57190738	57208756	1	
Y	57212184	57214397	-1	DDX11L16
Y	57207346	57212230	1	WASH6P
Y	56919422	56954169	-1	
Y	57138638	57145842	-1	
Y	57201135	57203405	-1	WASIR1
Y	57208516	57215634	-1	
Y	57184216	57199537	1	IL9R
Y	57067747	57130289	1	VAMP7
HG1395_PATCH	82333	82900	1	
HG1395_PATCH	84051	85911	1	NCOA4P4
Y	8280198	8282209	1	TSPY24P
Y	7853686	7854876	-1	ZNF92P1Y
Y	4801685	4802848	-1	SERBP1P2
Y	7687739	7689548	-1	TSPY12P
Y	11332329	11333595	1	DUX4L19
Y	14941746	14942715	1	
Y	9030594	9039988	1	OFD1P3Y
Y	7671743	7676024	-1	RBMY2HP
Y	8517364	8517748	-1	
Y	17464879	17465214	-1	ELOCP35
Y	11340579	11385687	-1	SLC9B1P1
Y	3682805	3683868	1	USP12PY
Y	20570222	20570519	-1	KDM5DP1
Y	11314921	11316187	1	DUX4L17
HG2063_PATCH	273538	274045	1	
Y	7905536	7907303	-1	
Y	11473727	11474237	-1	
Y	8350931	8352143	1	ZNF736P6Y
Y	5887504	5888740	1	TUSC2P1
Y	15348662	15456074	-1	PUDPP1
Y	7690511	7692678	1	
Y	11085476	11086061	-1	CDRT15P10
Y	7678899	7681028	1	
Y	3777997	3779546	-1	RNF19BPY
Y	17516836	17519038	-1	TUBB1P2
Y	7656968	7657352	1	
Y	11395699	11397076	1	ACTR3BP1
Y	12244752	12245457	1	RPS24P1
Y	19986575	19987852	-1	RCC2P2
Y	7913422	7914090	-1	ZNF736P8Y
Y	22973819	23005465	1	BPY2
Y	11445418	11445564	-1	MTND1P12
Y	56855244	56855488	1	CTBP2P1
Y	8363536	8363959	-1	MTND6P1
Y	11335627	11337693	1	PABPC1P5
Y	11781052	11782527	-1	RCC2P1
Y	12537773	12544883	1	SHROOM2P1
Y	11107065	11107263	-1	
Y	11321557	11322823	1	DUX4L18
Y	22866544	22867756	-1	ZNF736P11Y
Y	7932997	7937640	-1	BPY2DP
Y	11412548	11418716	1	CHEK2P1
Y	20001185	20012204	-1	ZNF886P
Y	21817579	21818218	-1	OFD1P16Y
Y	8931069	8931454	-1	
Y	11922536	11923769	-1	ASS1P6
Y	11178306	11178816	1	SNX18P1Y
Y	12618983	12634402	-1	MED14P1
Y	20390051	20396796	1	ZNF885P
Y	12252321	12258033	-1	ARSFP1
Y	11445708	11446101	-1	
Y	7990987	7991806	-1	ZNF736P7Y
Y	17192826	17193652	1	SURF6P1
Y	11144250	11144492	1	
Y	11173618	11173821	1	ANKRD20A6P
Y	7845485	7846454	-1	
Y	8264449	8277188	-1	RBMY2KP
Y	8704472	8705283	1	TTTY19
Y	22936455	22973284	1	TTTY4
Y	8971751	8974095	-1	
Y	11957208	11987386	1	MXRA5Y
Y	11306918	11308181	1	DUX4L16
Y	8364032	8365150	1	MTCYBP1
Y	11107389	11107596	-1	
Y	22851584	22852715	1	TTTY17A
Y	3293808	3294826	1	AGPAT5P1
Y	3851224	3852869	-1	
Y	17500958	17515018	1	FAM41AY1
Y	11042722	11042943	-1	
Y	8413037	8414054	-1	TRIM60P3Y
Y	8371663	8372030	1	MTND1P1
Y	19932130	19932500	-1	
Y	3549652	3549810	-1	PRRC2CP1
Y	8418791	8419900	-1	ZNF736P10Y
Y	22861112	22861834	-1	
Y	17514502	17516715	1	
Y	8372241	8372710	1	MTND2P3
Y	11107719	11107887	-1	
Y	14276212	14277489	-1	
Y	8901203	8903276	-1	
Y	12354096	12387328	1	ARSDP1
Y	12801973	12803830	-1	CDY4P
Y	3866306	3866722	-1	UBE2V1P3
Y	12321623	12322835	1	FAM8A4P
Y	23017063	23017821	1	
Y	23025594	23026663	1	TRIM60P8Y
Y	14907898	14908068	1	MED13P1
Y	14941547	14941750	-1	CYCSP46
Y	4174985	4175090	-1	RNU6-303P
Y	16138248	16138379	-1	
Y	12273473	12273764	1	RN7SL702P
Y	17557864	17557976	1	RNA5SP520
Y	17559774	17559889	1	RNA5SP521
Y	17568962	17569051	-1	
Y	16248935	16249041	1	RNU6-109P
Y	16336283	16336389	-1	RNU6-184P
